Date,Close/Last,Volume,Open,High,Low
06/24/2022,1226.69,--,1210.53,1236.06,1173.44
06/23/2022,1188.57,--,1188.47,1189.14,1188.47
06/22/2022,1140.29,--,1141.92,1141.92,1140.29
06/21/2022,1163.13,--,1163.16,1163.16,1163.13
06/17/2022,1141.91,--,1163.56,1188.64,1120.82
06/16/2022,1140.81,--,1140.84,1140.84,1140.79
06/15/2022,1270.76,--,1270.11,1270.76,1270.11
06/14/2022,1235.84,--,1236.75,1236.75,1235.13
06/13/2022,1245.92,--,1243.71,1246.75,1243.71
06/10/2022,1659.24,--,1692.09,1741.25,1642.58
06/09/2022,1712.33,--,1712.52,1712.52,1711.97
06/08/2022,1727.11,--,1727.89,1727.89,1727.11
06/07/2022,1785.63,--,1785.05,1785.63,1785.05
06/06/2022,1761.51,--,1760.34,1761.51,1760.34
06/03/2022,1714.92,--,1699.2,1766.17,1682.88
06/02/2022,1754.64,--,1754.49,1755.03,1754.49
06/01/2022,1719.14,--,1719.74,1720.35,1719.14
05/31/2022,1839.64,--,1839.82,1839.82,1839.62
05/27/2022,1846.69,--,1701.56,1870.22,1697.74
05/26/2022,1699.25,--,1698.94,1699.97,1698.94
05/25/2022,1762.65,--,1760.05,1762.65,1760.05
05/24/2022,1757.86,--,1757.23,1757.86,1757.23
05/23/2022,1745.22,--,1745.55,1745.55,1745.11
05/20/2022,1739.63,--,1796.04,1824.97,1706.65
05/19/2022,1787.83,--,1789.2,1789.2,1787.83
05/18/2022,1717.39,--,1716.27,1717.39,1715.82
05/17/2022,1835.99,--,1835.06,1835.99,1835.06
05/16/2022,1791.17,--,1791.02,1791.17,1791.02
05/13/2022,1795.21,--,1843.17,1861.97,1720.65
05/12/2022,1720.65,--,1720.96,1721.33,1720.65
05/11/2022,1799.9,--,1798.32,1801.35,1798.32
05/10/2022,1938.5,--,1939.14,1939.53,1938.5
05/09/2022,1834,--,1834.74,1834.74,1833.29
05/06/2022,2224.41,--,2216.68,2265.2,2179.92
05/05/2022,2259.01,--,2260.04,2260.04,2259.01
05/04/2022,2447.43,--,2446.07,2447.43,2446.07
05/03/2022,2319.15,--,2319.38,2319.38,2318.9
05/02/2022,2367.69,--,2368.94,2368.94,2367.69
04/29/2022,2366.42,--,2398.47,2459.62,2341.15
04/28/2022,2451.45,--,2452.85,2452.85,2451.45
04/27/2022,2419.84,--,2420.67,2420.76,2419.84
04/26/2022,2357.2,--,2353.8,2357.2,2353.8
04/25/2022,2510.18,--,2508.75,2510.18,2508.75
04/22/2022,2453.49,--,2501.96,2524.82,2433.3
04/21/2022,2499.22,--,2499.57,2499.57,2499.09
04/20/2022,2569.39,--,2567.95,2569.85,2567.95
04/19/2022,2556.97,--,2557.65,2557.65,2556.97
04/18/2022,2544.72,--,2543.82,2544.72,2543.82
04/14/2022,2512.48,--,2499.49,2535.94,2479.64
04/13/2022,2568.15,--,2567.13,2568.15,2567.13
04/12/2022,2496.18,--,2497.16,2497.16,2496.18
04/11/2022,2464.8,--,2463.39,2465.31,2463.39
04/08/2022,2643.01,--,2683.23,2735.79,2631.71
04/07/2022,2690.09,--,2690.37,2690.37,2689.64
04/06/2022,2682.43,--,2682.55,2682.73,2682.43
04/05/2022,2780.64,--,2780.32,2782.49,2780.32
04/04/2022,2903.5,--,2904.22,2904.29,2903.5
04/01/2022,2875.82,--,2806.78,2896.55,2726.55
03/31/2022,2807.3,--,2807.17,2807.3,2806.74
03/30/2022,2901.28,--,2900.53,2901.28,2899.66
03/29/2022,2896.81,--,2897.23,2897.23,2896.81
03/28/2022,2895.19,--,2895.28,2895.28,2894.74
03/25/2022,2705.96,--,2746.05,2755.33,2672.02
03/24/2022,2684.1,--,2683.67,2684.26,2683.67
03/23/2022,2629.74,--,2631.94,2631.94,2629.74
03/22/2022,2583.2,--,2582.47,2583.2,2582.47
03/21/2022,2500.73,--,2500.3,2500.81,2500.3
03/18/2022,2541.55,--,2452.38,2577.78,2434.44
03/17/2022,2471.82,--,2471.89,2471.89,2471.75
03/16/2022,2464.68,--,2464.57,2464.68,2464.37
03/15/2022,2352.96,--,2350.35,2352.96,2350.35
03/14/2022,2351.67,--,2351.74,2351.74,2351.33
03/11/2022,2319.6,--,2352.68,2369.42,2286.65
03/10/2022,2312.15,--,2313.35,2313.35,2310.24
03/09/2022,2489.48,--,2489.36,2489.48,2489.26
03/08/2022,2339.23,--,2338.51,2340.02,2338.51
03/07/2022,2295.38,--,2293.3,2295.38,2293.3
03/04/2022,2341.07,--,2463.44,2498.58,2311.63
03/03/2022,2467.87,--,2468.97,2468.97,2467.52
03/02/2022,2635.75,--,2634.94,2635.75,2634.94
03/01/2022,2625.27,--,2624.59,2625.27,2624.59
02/28/2022,2604.24,--,2606.51,2606.51,2604.24
02/25/2022,2419.97,--,2379.76,2420.29,2289.7
02/24/2022,2330.57,--,2331.1,2331.1,2330.57
02/23/2022,2230.95,--,2233.19,2233.19,2230.95
02/22/2022,2310.29,--,2310.79,2310.79,2310.29
02/18/2022,2262.82,--,2374.87,2404.95,2243.63
02/17/2022,2476.3,--,2478.41,2478.96,2476.3
02/16/2022,2708.89,--,2709.15,2709.15,2708.66
02/15/2022,2713.19,--,2713.14,2713.19,2712.44
02/14/2022,2592.12,--,2594.71,2594.71,2592.12
02/11/2022,2571.84,--,2693.49,2699.53,2545.43
02/10/2022,2662.04,--,2664.72,2664.72,2662.04
02/09/2022,2734.17,--,2736.19,2736.19,2734.17
02/08/2022,2703.95,--,2703.74,2703.95,2703.56
02/07/2022,2708.47,--,2708.5,2708.5,2708.07
02/04/2022,2508.17,--,2335.62,2528.63,2286.06
02/03/2022,2293.99,--,2293.96,2294.39,2293.96
02/02/2022,2286.96,--,2287.13,2287.13,2286.85
02/01/2022,2370.91,--,2371.15,2371.15,2370.91
01/31/2022,2347.97,--,2347.39,2348.12,2347.39
01/28/2022,2275.49,--,2202.72,2289.55,2160.56
01/27/2022,2209.44,--,2209.56,2209.56,2209.44
01/26/2022,2205.53,--,2207.78,2207.78,2205.53
01/25/2022,2205.57,--,2203.88,2205.57,2203.88
01/24/2022,2169.94,--,2169.67,2170.28,2169.67
01/21/2022,2255.95,--,2390.4,2537.79,2179.76
01/20/2022,2537.1,--,2536.65,2537.1,2536.65
01/19/2022,2611.2,--,2610.12,2611.2,2610.12
01/18/2022,2664.09,--,2662.47,2664.09,2662.47
01/14/2022,2665.5,--,2731.75,2737.93,2624.42
01/13/2022,2699.61,--,2701.34,2701.34,2699.61
01/12/2022,2766.36,--,2766.29,2766.58,2766.29
01/11/2022,2695.28,--,2696.44,2696.44,2695.28
01/10/2022,2612.48,--,2611.28,2612.48,2611.28
01/07/2022,2629.51,--,2625.03,2754.51,2563.85
01/06/2022,2749.08,--,2748.5,2749.08,2748.5
01/05/2022,2815.37,--,2813.13,2815.37,2813.13
01/04/2022,3004.26,--,3002.76,3004.26,3002.68
01/03/2022,2992.93,--,2993.08,2993.41,2992.93
12/31/2021,2968.16,--,3064.49,3094.07,2920.87
12/30/2021,3012.96,--,3012.24,3013.61,3012.24
12/29/2021,2965.19,--,2967.76,2967.76,2965.19
12/28/2021,3065.42,--,3065.83,3065.83,3064.89
12/27/2021,3222.16,--,3222.47,3223.09,3222.16
12/23/2021,3246.43,--,3285.53,3320.75,3232.98
12/22/2021,3121.66,--,3120.89,3121.66,3119.98
12/21/2021,3162.19,--,3161.84,3162.19,3161.72
12/20/2021,3044.5,--,3044.43,3044.78,3044.43
12/17/2021,3019.17,--,3022.45,3114.97,2938.32
12/16/2021,3106.7,--,3108.83,3108.83,3106.7
12/15/2021,3171.71,--,3173.17,3173.17,3171.25
12/14/2021,3089.46,--,3030.19,3112.7,2963.82
12/13/2021,3014.37,--,3016.64,3016.64,3014.37
12/10/2021,3107.7,--,3254.62,3270.12,3076.63
12/09/2021,3193.18,--,3191.76,3193.18,3191.76
12/08/2021,3351.83,--,3350.19,3351.83,3350.19
12/07/2021,3333.56,--,3332.58,3333.56,3332.49
12/06/2021,3340.7,--,3342.82,3342.82,3340.7
12/03/2021,3430.16,--,3674.63,3722.16,3309.36
12/02/2021,3637.38,--,3637.63,3637.65,3637.38
12/01/2021,3699.81,--,3698.33,3700.74,3698.33
11/30/2021,3713.19,--,3710.39,3713.19,3709.38
11/29/2021,3640.6,--,3642.3,3642.3,3640.6
11/26/2021,3421.69,--,3425,3457.54,3393.81
11/24/2021,3753.87,--,3641.97,3765.39,3592.72
11/23/2021,3609.19,--,3609.58,3609.58,3608
11/22/2021,3540.17,--,3537.66,3540.17,3537.49
11/19/2021,3646.25,--,3599.69,3651.04,3448.52
11/18/2021,3527.89,--,3525.88,3527.89,3525.68
11/17/2021,3732.92,--,3734.39,3734.39,3732.92
11/16/2021,3708.25,--,3707.19,3708.41,3707.19
11/15/2021,3823.13,--,3820.13,3823.13,3820.13
11/12/2021,3994.54,--,3978.9,4105.34,3884.89
11/11/2021,4046.83,--,4046.27,4046.83,4045.83
11/10/2021,4003.27,--,4002.49,4003.88,4002.49
11/09/2021,4153.45,--,4149.07,4153.45,4149.07
11/08/2021,4168.64,--,4167.89,4168.64,4167.89
11/05/2021,3828.64,--,3846.71,3906.44,3797.77
11/04/2021,3833,--,3833.85,3833.85,3833
11/03/2021,3937.03,--,3934.86,3937.03,3934.86
11/02/2021,3917.02,--,3918.89,3918.89,3917.02
11/01/2021,3793.12,--,3791.72,3793.12,3791.72
10/29/2021,3845.14,--,3766.93,3880.06,3725.89
10/28/2021,3730.43,--,3729.8,3730.43,3729.76
10/27/2021,3562.72,--,3564.13,3564.13,3562.72
10/26/2021,3716.66,--,3714.52,3716.66,3714.52
10/25/2021,3843.7,--,3842.31,3843.86,3842.31
10/22/2021,3649.38,--,3822.54,3829.01,3620.07
10/21/2021,3769.12,--,3768.61,3769.12,3768.58
10/20/2021,3924.7,--,3922.59,3924.7,3922.35
10/19/2021,3753.42,--,3754.44,3755.06,3753.42
10/18/2021,3647.71,--,3650.98,3650.98,3647.71
10/15/2021,3643.66,--,3539.94,3717.7,3433.53
10/14/2021,3455.7,--,3454.7,3455.7,3454.7
10/13/2021,3412.62,--,3412.29,3412.62,3412.16
10/12/2021,3341.14,--,3340.67,3341.14,3340.67
10/11/2021,3367.13,--,3366.42,3367.13,3366.42
10/08/2021,3283.72,--,3309.98,3330.33,3256.82
10/07/2021,3285.26,--,3284.48,3285.38,3284.48
10/06/2021,3303.36,--,3302.22,3303.36,3302.22
10/05/2021,3151.1,--,3152.1,3152.1,3150.82
10/04/2021,3032.58,--,3032.01,3032.58,3032.01
10/01/2021,2973.85,--,2897.93,2980.45,2667.7
09/30/2021,2703.76,--,2703.42,2704.14,2703.42
09/29/2021,2528.1,--,2598.97,2629.07,2511.5
09/28/2021,2547.13,--,2544.98,2547.13,2544.15
09/27/2021,2610.25,--,2611.38,2611.38,2610.11
09/24/2021,2641.31,--,2524,2664.22,2508.25
09/23/2021,2784.86,--,2784.53,2785.01,2784.53
09/22/2021,2696.77,--,2696.14,2696.77,2696.06
09/21/2021,2523.94,--,2523.09,2524.72,2523.09
09/20/2021,2551.43,--,2551.17,2551.43,2550.35
09/17/2021,2969.21,--,2979.79,3058.92,2931.6
09/16/2021,3034.91,--,3034.95,3035.26,3034.91
09/15/2021,3061.89,--,3062.76,3062.76,3061.62
09/14/2021,2976.97,--,2980.53,2980.53,2976.97
09/13/2021,2833.96,--,2836.77,2836.77,2833.96
09/10/2021,2800.02,--,2906.53,2994.4,2766.97
09/09/2021,2952.34,--,2952.47,2952.47,2951
09/08/2021,2936.19,--,2935.74,2936.77,2935.74
09/07/2021,2960.39,--,2959.19,2960.39,2959.19
09/03/2021,3363.34,--,3322.74,3365.86,3275.82
09/02/2021,3163.9,--,3163.66,3164.01,3163.66
09/01/2021,3145.52,--,3147.31,3147.31,3145.52
08/31/2021,2964.42,--,2964.1,2964.88,2964.1
08/30/2021,2883.95,--,2883.91,2883.95,2883.7
08/27/2021,2989.41,--,2902.63,3003.79,2833.53
08/26/2021,2841.78,--,2842.05,2842.05,2839.77
08/25/2021,2989.34,--,2989.62,2989.62,2988.16
08/24/2021,2923.38,--,2921.07,2923.38,2921.07
08/23/2021,3043.67,--,3043.67,3043.67,3043.22
08/20/2021,3007.3,--,2918.4,3024.44,2884.6
08/19/2021,2920.04,--,2921.11,2921.11,2920.04
08/18/2021,2748.55,--,2751.4,2751.4,2748.55
08/17/2021,2751.53,--,2752.86,2752.86,2751.53
08/16/2021,2822.79,--,2819.72,2822.79,2819.72
08/13/2021,2945.09,--,2892.07,2963.22,2741.83
08/12/2021,2749.32,--,2751.72,2752.65,2749.32
08/11/2021,2844.03,--,2843.19,2844.2,2843.19
08/10/2021,2820.28,--,2821.15,2823.76,2820.28
08/09/2021,2844.51,--,2844.65,2844.65,2844.36
08/06/2021,2625.98,--,2507.52,2652.56,2469.6
08/05/2021,2511.41,--,2511.44,2511.44,2510.84
08/04/2021,2449.44,--,2450.91,2450.91,2449.44
08/03/2021,2315.68,--,2316.04,2316.04,2315.66
08/02/2021,2402.55,--,2402.96,2403.44,2402.55
07/30/2021,2419.41,--,2293.53,2444.76,2272.17
07/29/2021,2363.14,--,2362.44,2363.7,2362.44
07/28/2021,2325.16,--,2326.57,2326.57,2325.16
07/27/2021,2288.16,--,2291.83,2291.83,2288.16
07/26/2021,2209.24,--,2208.82,2209.24,2208.7
07/23/2021,1971.99,--,1954.46,1982.13,1919.11
07/22/2021,1937.76,--,1937.49,1937.76,1937.17
07/21/2021,1935.66,--,1935.11,1935.66,1934.9
07/20/2021,1755.02,--,1754.71,1755.22,1754.71
07/19/2021,1821.25,--,1821.37,1821.37,1821.25
07/16/2021,1882.09,--,1864.52,1912.55,1863.34
07/15/2021,1882.4,--,1881.93,1882.4,1881.77
07/14/2021,1950.94,--,1950.94,1950.94,1950.61
07/13/2021,1927.3,--,1927.19,1927.3,1927.02
07/12/2021,1972.62,--,1972.87,1972.87,1972.62
07/09/2021,2050.83,--,1995.29,2055.87,1951.24
07/08/2021,1982.34,--,1980.59,1982.34,1980.59
07/07/2021,2069.88,--,2071.19,2071.49,2069.88
07/06/2021,2108.27,--,2108.22,2108.27,2107.8
07/02/2021,2083.34,--,2141.9,2145.92,2020.31
07/01/2021,2035.68,--,2039.36,2039.36,2035.68
06/30/2021,2114.47,--,2113.97,2114.47,2113.97
06/29/2021,2144.77,--,2145.59,2145.59,2144.77
06/28/2021,2068.34,--,2070.95,2070.95,2068.34
06/25/2021,1877.88,--,1920.21,2074.36,1845
06/24/2021,2051.21,--,2051.48,2051.48,2051.21
06/23/2021,1979.61,--,1980.54,1980.54,1979.61
06/22/2021,1891.83,--,1893.82,1893.82,1891.83
06/21/2021,1854.57,--,1859.38,1859.38,1854.57
06/18/2021,2136.14,--,2238.52,2296.72,2106.67
06/17/2021,2292.67,--,2291.98,2292.67,2291.96
06/16/2021,2316.83,--,2317.44,2317.44,2316.83
06/15/2021,2422.32,--,2422.6,2422.87,2422.32
06/14/2021,2481.11,--,2481.54,2481.54,2481.11
06/11/2021,2268.22,--,2293.74,2310.07,2231.87
06/10/2021,2272.17,--,2272.95,2272.95,2271.19
06/09/2021,2331.38,--,2332.38,2332.38,2331.38
06/08/2021,2122.7,--,2124.22,2124.22,2121.64
06/07/2021,2184.39,--,2182.15,2184.39,2182.15
06/04/2021,2378.08,--,2350.66,2391.67,2306.51
06/03/2021,2477.48,--,2476.93,2477.48,2476.81
06/02/2021,2392.55,--,2391.29,2392.6,2391.29
06/01/2021,2310.3,--,2298.59,2420.74,2265.97
05/28/2021,2366.33,--,2205.24,2384.04,2128.16
05/27/2021,2456.94,--,2457.56,2457.85,2456.94
05/26/2021,2484.22,--,2484.42,2484.42,2483.46
05/25/2021,2391.26,--,2399.54,2399.54,2391.26
05/24/2021,2485.48,--,2471.94,2485.48,2471.94
05/21/2021,2246.17,--,2514.55,2661.78,2047.04
05/20/2021,2590.01,--,2590.51,2590.51,2590.01
05/19/2021,2287.89,--,2287.79,2287.89,2287.34
05/18/2021,2877.45,--,2877.52,2878.02,2877.45
05/17/2021,2906.7,--,2907.56,2907.56,2904.86
05/14/2021,3333.54,--,3349.78,3441.43,3225.42
05/13/2021,3248.8,--,3252.75,3254.61,3248.8
05/12/2021,3287.1,--,3280.39,3287.1,3280.39
05/11/2021,3696.95,--,3694.17,3697.79,3694.17
05/10/2021,3610.65,--,3609.34,3610.65,3609.11
05/07/2021,3482.06,--,3513.73,3585.57,3386.7
05/06/2021,3497.35,--,3494.73,3497.35,3494.73
05/05/2021,3482.26,--,3479.77,3482.78,3479.77
05/04/2021,3293.69,--,3289.49,3293.69,3289.49
05/03/2021,3404.78,--,3406.45,3406.45,3404.78
04/30/2021,3250.79,--,3151.49,3262.03,3075.45
04/29/2021,3096.71,--,3091.79,3096.71,3091.79
04/28/2021,3150.94,--,3151.43,3151.43,3150.94
04/27/2021,3154.5,--,3153.76,3155.63,3153.76
04/26/2021,3023.77,--,3025.95,3025.95,3023.77
04/23/2021,2829.45,--,2777.25,2893.48,2721.7
04/22/2021,2946.37,--,2942.3,2946.37,2942.3
04/21/2021,3009.09,--,3007.06,3009.09,3007.06
04/20/2021,3127.8,--,3109.62,3133.13,3103.62
04/19/2021,2973.2,--,3023.85,3035.14,2971.94
04/16/2021,3373.59,--,3310.51,3396.9,3263.08
04/15/2021,3456.03,--,3447.64,3465.48,3445.16
04/14/2021,3418.53,--,3414.78,3431.42,3409.37
